,state,year,prisoner_count,state_population,year_state
616,ARKANSAS,2013.0,14295.0,2958765,2013_ARKANSAS
617,CALIFORNIA,2013.0,134339.0,38431393,2013_CALIFORNIA
618,COLORADO,2013.0,20184.0,5272086,2013_COLORADO
619,CONNECTICUT,2013.0,17319.0,3599341,2013_CONNECTICUT
620,DELAWARE,2013.0,6798.0,925240,2013_DELAWARE
621,FLORIDA,2013.0,100940.0,19600311,2013_FLORIDA
622,GEORGIA,2013.0,53701.0,9994759,2013_GEORGIA
623,HAWAII,2013.0,5173.0,1408987,2013_HAWAII
624,IDAHO,2013.0,7219.0,1612843,2013_IDAHO
625,ILLINOIS,2013.0,48653.0,12890552,2013_ILLINOIS
626,INDIANA,2013.0,28495.0,6570713,2013_INDIANA
627,IOWA,2013.0,8707.0,3092341,2013_IOWA
628,KANSAS,2013.0,9610.0,2895801,2013_KANSAS
629,KENTUCKY,2013.0,12141.0,4399583,2013_KENTUCKY
630,LOUISIANA,2013.0,18794.0,4629284,2013_LOUISIANA
631,MAINE,2013.0,2073.0,1328702,2013_MAINE
632,MARYLAND,2013.0,21705.0,5938737,2013_MARYLAND
633,MASSACHUSETTS,2013.0,10622.0,6708874,2013_MASSACHUSETTS
634,MICHIGAN,2013.0,43704.0,9898193,2013_MICHIGAN
635,MINNESOTA,2013.0,9391.0,5422060,2013_MINNESOTA
636,MISSISSIPPI,2013.0,15591.0,2992206,2013_MISSISSIPPI
637,MISSOURI,2013.0,31499.0,6044917,2013_MISSOURI
638,MONTANA,2013.0,3125.0,1014864,2013_MONTANA
639,NEBRASKA,2013.0,5012.0,1868969,2013_NEBRASKA
640,NEVADA,2013.0,12789.0,2791494,2013_NEVADA
641,NEW HAMPSHIRE,2013.0,2623.0,1322616,2013_NEW HAMPSHIRE
642,NEW JERSEY,2013.0,22263.0,8911502,2013_NEW JERSEY
643,NEW MEXICO,2013.0,6767.0,2086895,2013_NEW MEXICO
644,NEW YORK,2013.0,53312.0,19695680,2013_NEW YORK
645,NORTH CAROLINA,2013.0,37176.0,9848917,2013_NORTH CAROLINA
646,NORTH DAKOTA,2013.0,1576.0,723857,2013_NORTH DAKOTA
647,OHIO,2013.0,51711.0,11572005,2013_OHIO
648,OKLAHOMA,2013.0,25364.0,3853118,2013_OKLAHOMA
649,OREGON,2013.0,14605.0,3928068,2013_OREGON
